Table 4: Individual Taxfilers by Age Group, Tax Bracket, and Province or Territory (2017 Tax Year),,,,
,,,,,,
All Canada,,,,,,
,Tax Bracket,,,,,
,"$45,916 or less","$45,916 - $91,831","$91,831 - $142,353","$142,353 - $202,800","$202,800 or more",All Brackets
Age Group,,,,,,
Under 20,1025510,10150,2980,1340,740,1040730
20 to 24,1905560,153870,15820,4230,2020,2081500
25 to 29,1642640,569160,66740,12110,4610,2295260
30 to 34,1392000,721450,144210,30800,13600,2302060
35 to 39,1279220,741230,188050,47370,27000,2282880
40 to 44,1134860,720360,211090,57560,41540,2165420
45 to 49,1130330,727120,225430,64360,52440,2199680
50 to 54,1259600,773630,230850,66210,56120,2386420
55 to 59,1412430,767060,206290,61550,55160,2502490
60 to 64,1422480,648630,140120,43560,40030,2294820
65 to 69,1383870,468510,69050,23890,24320,1969640
70 to 74,1195050,311800,38700,15620,17540,1578710
75 to 79,873980,179130,22280,9230,10830,1095450
80 to 84,640030,108950,14640,5840,7450,776910
85 and over,724120,114290,19080,7760,10710,875950
Total,18421660,7015350,1595340,451420,364140,27847910
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
Table 4: Individual Taxfilers by Age Group, Tax Bracket, and Province or Territory (2017 Tax Year),,,,
,,,,,,
Newfoundland and Labrador,,,,,,
,Tax Bracket,,,,,
,"$45,916 or less","$45,916 - $91,831","$91,831 - $142,353","$142,353 - $202,800","$202,800 or more",All Brackets
Age Group,,,,,,
Under 20,14470,110,20,10,-,14610
20 to 24,23250,2150,350,50,10,25810
25 to 29,19240,6720,1380,230,40,27610
30 to 34,17190,8400,2260,540,150,28520
35 to 39,16660,9120,2630,840,360,29600
40 to 44,17130,10230,3040,950,530,31870
45 to 49,19060,11530,3420,1030,580,35620
50 to 54,22160,12490,3400,1000,560,39600
55 to 59,25360,11550,2840,830,510,41080
60 to 64,27700,10390,2040,570,410,41120
65 to 69,29980,6760,850,260,200,38050
70 to 74,25370,3390,340,160,140,29390
75 to 79,16650,1400,120,40,70,18290
80 to 84,11190,720,80,20,40,12040
85 and over,10150,520,60,30,30,10790
Total,295540,95480,22800,6550,3620,423990
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
Table 4: Individual Taxfilers by Age Group, Tax Bracket, and Province or Territory (2017 Tax Year),,,,
,,,,,,
Prince Edward Island,,,,,,
,Tax Bracket,,,,,
,"$45,916 or less","$45,916 - $91,831","$91,831 - $142,353","$142,353 - $202,800","$202,800 or more",All Brackets
Age Group,,,,,,
Under 20,5250,50,10,-,-,5310
