,,"$45,916 or less","$45,916 - $91,831","$91,831 - $142,353","$142,353 - $202,800","$202,800 or more",All Brackets
Province or Territory,Gender,,,,,,
Newfoundland and Labrador,Female,170780,40610,4990,1080,820,218280
,Male,124760,54880,17810,5470,2790,205710
Prince Edward Island,Female,46940,12390,1210,260,170,60980
,Male,37330,14790,2510,730,450,55820
Nova Scotia,Female,300370,75270,9070,2290,1490,388510
,Male,222590,100370,21730,5500,3570,353750
New Brunswick,Female,251230,55120,5560,1350,860,314130
,Male,193430,79070,15580,3820,2330,294220
Quebec,Female,2610240,653750,78540,18930,14840,3376300
,Male,2015840,902120,184260,44310,40250,3186790
Ontario,Female,3910040,1255410,221630,59510,45760,5492330
,Male,2920260,1470810,424240,121900,108720,5045930
Manitoba,Female,379820,101540,13210,2950,2260,499760
,Male,290390,139390,30510,7030,5820,473140
Saskatchewan,Female,308270,97970,15590,3810,2250,427890
,Male,222170,128710,41580,11590,6050,410090
Alberta,Female,1059400,380360,75000,21200,15500,1551450
,Male,715190,475220,192920,69960,54320,1507610
British Columbia,Female,1426480,416840,68450,20370,15860,1948000
,Male,1033230,530870,159120,46270,37000,1806480
Northwest Territories,Female,9010,4540,1470,240,110,15370
,Male,8210,4310,2650,590,260,16020
Yukon,Female,8740,4670,800,130,70,14400
,Male,7480,4770,1300,310,170,14030
Nunavut,Female,7260,2320,1190,170,50,10980
,Male,7010,2300,1350,340,120,11110
Non-resident,Female,45390,2320,810,310,450,49280
,Male,89810,4670,2260,1010,1830,99580
All Canada,Female,10533970,3103090,497520,132580,100480,14367650
,Male,7887690,3912260,1097820,318840,263650,13480260
