Province or Territory,"$45,916 or less","$45,917 - $91,831","$91,832 - $142,353","$142,354 - $202,800","$202,801 or more",All Brackets
Newfoundland and Labrador,295540,95480,22800,6550,3620,423990
Prince Edward Island,84280,27180,3720,1000,620,116790
Nova Scotia,522960,175640,30800,7790,5060,742250
New Brunswick,444660,134190,21140,5180,3190,608350
Quebec,4626080,1555870,262810,63240,55090,6563090
Ontario,6830300,2726210,645870,181410,154470,10538260
Manitoba,670210,240930,43710,9980,8080,972900
Saskatchewan,530440,226680,57170,15390,8300,837980
Alberta,1774590,855580,267920,91160,69820,3059060
British Columbia,2459710,947700,227570,66640,52860,3754480
Northwest Territories,17220,8850,4130,830,370,31390
Yukon,16220,9440,2100,440,240,28430
Nunavut,14270,4620,2540,500,160,22090
Non-resident,135200,6990,3070,1320,2280,148850
